activ,rtype,depth,high,shgt,usedhgt,weight,usedwgt,slottype,link,serial,mixbatch,mixitems,noalloc,frzstock,radionum,width,wide,usedwidth,check_num,pltperpos,oldslot,autoreleas,mixitemmov,fznomove,movetoslot,desc,item,sdepth,usedvol,svolume,isrecvbay,usedeffrz,deffrzcode,loccode,aisle,bay,level,position,loccodemt,aislemt,baymt,levelmt,positionmt,ispickslot,area,okpickslot,multiitmpk,hostloc,replenmeth,mixuseby,chargegrp,stkcfgmvfr,okstkcfgmv,cycitmacc,category,addsltocyc,counttimes,canmvfrz,donotpick,lstcounted
Y,1,1,1,1500,225,1000,48,R, ,0, , ,F, ,,1210,1,1310,39,F,01371B,F, ,F,,,,1210,1.28882,2.808,F, ,,  R, II,37, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,718,1000,172.8,R, ,0, , ,F, ,,1210,1,1310,0,F,01371C,F, ,F,,,,1210,0,2.808,F, ,,  R, II,37, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,822,1000,182.4,R, ,0, , ,F, ,,1210,1,1310,38,F,01372B,F, ,F,,,,1210,1.28882,2.808,F, ,,  R, II,37, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,462,1000,156,R, ,0, , ,F, ,,1210,1,1310,19,F,01372C,F, ,F,,,,1210,0,2.808,F, ,,  R, II,37, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,596,1000,200.04,R, ,0, , ,F, ,,1210,1,1310,80,F,01391B,F, ,F,,,,1210,1.31652,2.808,F, ,,  R, II,39, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,861,1000,270,R, ,0, , ,F, ,,1210,1,1310,86,F,01391C,F, ,F,,,,1210,0,2.808,F, ,,  R, II,39, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,556,1000,186.704,R, ,0, , ,F, ,,1210,1,1310,89,F,01392B,F, ,F,,,,1210,1.5867,2.808,F, ,,  R, II,39, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,518,1000,124.8,R, ,0, , ,F, ,,1210,1,1310,17,F,01392C,F, ,F,,,,1210,0,2.808,F, ,,  R, II,39, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,58,F,01411B,F, ,F,,,,1210,2.1504,2.808,F, ,,  R, II,41, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,279,1000,67.2,R, ,0, , ,F, ,,1210,1,1310,10,F,01411C,F, ,F,,,,1210,0.1559,2.808,F, ,,  R, II,41, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,596,1000,205.464,R, ,0, , ,F, ,,1210,1,1310,37,F,01412B,F, ,F,,,,1210,1.4141,2.808,F, ,,  R, II,41, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,200,1000,108.3,R, ,0, , ,F, ,,1210,1,1310,25,F,01412C,F, ,F,,,,1210,0.63256,2.808,F, ,,  R, II,41, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,212,1000,52.672,R, ,0, , ,F, ,,1210,1,1310,38,F,01431B,F, ,F,,,,1210,0.8198,2.808,F, ,,  R, II,43, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,263,1000,56,R, ,0, , ,F, ,,1210,1,1310,60,F,01431C,F, ,F,,,,1210,1.34368,2.808,F, ,,  R, II,43, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,131,1000,28,R, ,0, , ,F, ,,1210,1,1310,23,F,01432B,F, ,F,,,,1210,0.9959,2.808,F, ,,  R, II,43, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,463,1000,129.6,R, ,0, , ,F, ,,1210,1,1310,19,F,01432C,F, ,F,,,,1210,0,2.808,F, ,,  R, II,43, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,946,1000,189.84,R, ,0, , ,F, ,,1210,1,1310,2,F,22031B,F, ,F,,,,1210,1.08902,-1,F, ,,  R, LL,3, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,99,F,22031C,F, ,F,,,,1210,0.00144,2.808,F, ,,  R, LL,3, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,457,1000,89.65,R, ,0, , ,F, ,,1210,1,1310,46,F,22031D,F, ,F,,,,1210,0,2.808,F, ,,  R, LL,3, D,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,748,1000,187.5,R, ,0, , ,F, ,,1210,1,1310,39,F,22032B,F, ,F,,,,1210,1.5876,2.808,F, ,,  R, LL,3, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,219,1000,77,R, ,0, , ,F, ,,1210,1,1310,0,F,22032C,F, ,F,,,,1210,1.56038,2.808,F, ,,  R, LL,3, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,0,1000,0,R, ,0, , ,F, ,,1210,1,0,47,F,22032D,F, ,F,,,,1210,0.00115,2.808,F, ,,  R, LL,3, D,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,404,1000,102.6,R, ,0, , ,F, ,,1210,1,1310,26,F,22051B,F, ,F,,,,1210,1.17029,2.808,F, ,,  R, LL,5, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,242,1000,62.7,R, ,0, , ,F, ,,1210,1,1310,28,F,22051C,F, ,F,,,,1210,0.00144,2.808,F, ,,  R, LL,5, C,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,1055,1000,219,R, ,0, , ,F, ,,1210,1,1310,57,F,22051D,F, ,F,,,,1210,0,2.808,F, ,,  R, LL,5, D,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,386,1000,161.5,R, ,0, , ,F, ,,1210,1,1310,67,F,22052B,F, ,F,,,,1210,0.00144,2.808,F, ,,  R, LL,5, B,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,345,1000,144.5,R, ,0, , ,F, ,,1210,1,1310,9,F,22052C,F, ,F,,,,1210,1.34908,2.808,F, ,,  R, LL,5, C,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,1,1,1500,277,1000,89.5,R, ,0, , ,F, ,,1210,1,1310,27,F,22052D,F, ,F,,,,1210,0,2.808,F, ,,  R, LL,5, D,2,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
Y,1,99999,99999,1500,273,1000,64,R, ,0, , ,F, ,,1210,9999,1310,9,F,22071B,F, ,F,,,,1210,0.0005,-1,F, ,,  R, LL,7, B,1,,,,,,F,,F,F,, , ,,,, ,,F,0, ,F,/  /       :  :
